Idioms,Puns,Onomatopoeia,TOV words,Price messaging,Install messaging,Long life messaging,Ease messaging,Expertise messaging,Recycle messaging,Repair messaging,Trade-in messaging,B2B messaging,Perks,Gifting,Other messaging,Laptops,Gaming,Other Computing,Mobile,MDA,LSTV,Sound,Other CE,SKA,Home & Outdoor,Christmas,Easter,Summer,Winter,Mother's day,Father's day,Back to school,Valentines
A right royal ,Dream screen,Pop!,Wooow,epic deals,We'll sort it.,Long live ,Easy clean,Support.,recycle your tech,Pop into our repair shop,trade-in,Taking care of business,All weekend. All Perks!,gifting,your tech,Work smart,Upgrade,plugged in,"Night, Camera, Action!",Fresh taste,Dream screen,,"Night, Camera, Action!",Fresh taste,Lush lawn,Ho ho ho!,,,,For mums,For dads,,The power of love
"Lean, green ___ machine",,Ding!,Boom,cash,Let's sort it,Live on and on,Easy green,Count on us.,Recycle.,Repairing is caring,,A great fit for your business!,Big Perks Weekend.,dream gifts,top tech,plugged in,Level up,,Charge in a flash,A load less,Screen saver,,Charge in a flash,Flawless floorcare,green-fingered,,,,,Treat mum,Treat dad,,
Taking care of business,,,Turbo-charged,payday deals,Big installation savings!,Upgrade your tech,Cut out the elbow grease.,Don't sweat it,Less waste,Repair.,,A great fit for your business.,Big Weekend for Perks!,winning gifts,go big with,boot up with the best,Player 1,,Top phone. Top savings!,Take a load off,Reality TV,,Keep your home safe and sound,A cup full of ____,Flat pack builders,,,,,Mother's day,Father's day,,
Home sweet home,,,Epic,money off,Great fit. Great kit!,Broken tech? Let’s sort it.,Get cooking for less!,No worries,Easy green,Count on us.,,Best for your business!,Get perked up,they really want,smart ways to,Love at first site,Ready player 1,,Your golden Oppo-tunity!,Easy clean,Screen idol,,What goes bump in the night?,A clean sweep,,,,,,,The tech of dad's dreams,,
Reality TV,,,Ker-ching!,ker-ching!,Great fit. Great savings,Broken tech? Not for long.,Get cracking for less,Broken tech? Let’s sort it.,go greener,Cut out the elbow grease.,,Make it your business,Got perks? Get prizes,a proper gift,Great move.,,Next-gen gaming,,,Scrubs up well,Get real,,,Get swept away,,,,,,,Make dad's day,,
Brand spanking new,,,Woah!,for your dough,Great fit. No chore.,Broken tech? We’re on it,Get going for less!,Broken tech? Not for long.,,Fix it. Don’t ditch it.,,One stop business shop,No work. Just Perks!,treat them,Here we go!,,Tear up the track,,,Delicious deals,blown away,,,Sweep you off your feet,,,,,,,Dad's dream tech,,
Latest and greatest,,,ooooh!,save,Great kitchen. No chore.,,Easy clean. Great save.,Broken tech? We’re on it,,Fix me up!,,Small business. Big installation savings!,Perk up your weekend!,,for the bold,,boot up with the best,,,Freshly picked,,,,Clean break?,,,,,,,,,
Extra! Extra!,,,That ______ feeling,deals,Easy install. Saved your bacon,,Easy does it.,,,Fix up look sharp,,We mean business!,Perking Bonus Weekend!,,plugged in,,on the same level,,,Ditch the teatowel,,,,Cleaning house (without the hassle),,,,,,,,,
"Lights, camera, action!",,,The home of _____,spend. Save.,Install. Save. Clean up,,Easy fit. Easy life.,,,Get cooking for less!,,We're all business.,Perks Plus Weekend!,,that's ____ covered,,Minecraft. It's groundbreaking,,,Ditch defrosting,,,,Cleaning tech? The perfect fit,,,,,,,,,
Scrubs up well,,,Suuuper,save big,,,Easy install. Saved your bacon,,,Get cracking for less,,"Your business, plugged in.",Perks Saves The Weekend!,,that's ____ sorted,,Nintendough,,,Comfort food,,,,Cleaning? It's simple.,,,,,,,,,
Fill your boots,,,Brrrriliant,nice price,,,Easy life. Big save!,,,Get going for less!,,Got bigger fish to fry?,Save big with Perks,,now for wow,,Time for a Switch?,,,Cook. Clean. Save!,,,,Saved your bacon,,,,,,,,,
Not on our watch!,,,Kit,big saving,,,Easy life. Nice price.,,,Don't make do. Mend!,,Grow for less dough.,"Spend, save, perks.",,believe it!,,Game changer,,,Cool fridge. Warm glow.,,,,Got bigger fish to fry?,,,,,,,,,
Get off to a great start,,,Tech,nice save,,,No chore,,,Broken tech? Let’s sort it.,,Get more. Grow more.,Super Perks Weekend!,,best picks,,Steam ahead,,,Cool helpers!,,,,House work? Light work!,,,,,,,,,
What goes bump in the night?,,,Gear,,,,Housework? Light work.,,,Broken tech? Not for long.,,,Treat yourself with Perks,,amazing tech,,Full of steam,,,Cut out the elbow grease.,,,,Hassle-free spring cleaning,,,,,,,,,
Don't sweat it,,,,,,,,,,Broken tech? We’re on it,,,Weekend Perk Specials!,,Say goodbye to ________,,,,,Eat good. Do good.,,,,Hate cleaning? Love cleaning tech,,,,,,,,,
No problem,,,,,,,,,,Get it working,,,,,and then some,,,,,Eat in to help out,,,,Kitchen tech without the fuss,,,,,,,,,
Make do and mend,,,,,,,,,,Get your fix.,,,,,Mastered.,,,,,Food for thought,,,,Less chore. More chill.,,,,,,,,,
Get excited!,,,,,,,,,,Give broken tech some tock!,,,,,a helping hand,,,,,Friendly fridges.,,,,Less stress. Less mess.,,,,,,,,,
Bigger fish to fry?,,,,,,,,,,"If it’s broke, fix it.",,,,,treat yourself,,,,,Everything but the kitchen sink,,,,Let off steam.,,,,,,,,,
Easy as pie,,,,,,,,,,In a fix?,,,,,From ____ to ______,,,,,Fairer fridges.,,,,,,,,,,,,,
On a plate,,,,,,,,,,In a fix? We’ve got you.,,,,,hassle-free,,,,,Get cooking for less!,,,,,,,,,,,,,
Piece of cake,,,,,,,,,,On the mend,,,,,stress-free,,,,,Get cracking for less,,,,,,,,,,,,,
On the mend,,,,,,,,,,Saving the day with repairs,,,,,,,,,,Saved your bacon,,,,,,,,,,,,,
,,,,,,,,,,Saving you the bother,,,,,,,,,,Got bigger fish to fry?,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Hassle-free spring cleaning,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Hate cleaning? Love cleaning tech,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Easy as pie,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,On a plate,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Piece of cake,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Serving up savings,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Kitchen tech without the fuss,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Less chore. More chill.,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Less stress. Less mess.,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Let off steam.,,,,,,,,,,,,,
